[2012/02/14 08:02:09] [INFO] [migo-3] getNode done in 0 millis
[2012/05/11 09:13:44] [INFO] [migo-1] GET:/ done in 431 millis
[2012/05/11 09:14:01] [INFO] [migo-1] POST:login done in 2 millis
[2012/05/11 09:14:01] [INFO] [migo-1] GET:/ done in 0 millis
[2012/05/11 09:14:01] [INFO] [migo-1] GET:chooseGroup done in 76 millis
[2012/05/11 09:14:06] [INFO] [migo-1] GET:groupNews done in 90 millis
[2012/05/11 09:14:12] [INFO] [migo-1] GET:logout done in 1 millis
[2012/05/11 09:14:12] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:15:32] [INFO] [migo-1] POST:login done in 0 millis
[2012/05/11 09:15:32] [INFO] [migo-1] GET:/ done in 0 millis
[2012/05/11 09:15:32] [INFO] [migo-1] GET:chooseGroup done in 13 millis
[2012/05/11 09:15:33] [INFO] [migo-1] GET:groupNews done in 6 millis
[2012/05/11 09:15:35] [INFO] [migo-1] GET:groupCalendar done in 6 millis
[2012/05/11 09:15:42] [INFO] [migo-1] GET:groupMessages done in 48 millis
[2012/05/11 09:15:51] [INFO] [migo-1] GET:groupNews done in 5 millis
[2012/05/11 09:15:54] [INFO] [migo-1] GET:groupCalendar done in 4 millis
[2012/05/11 09:15:54] [INFO] [migo-1] GET:groupNews done in 6 millis
[2012/05/11 09:15:57] [INFO] [migo-1] GET:chooseGroup done in 13 millis
[2012/05/11 09:15:59] [INFO] [migo-1] GET:groupNews done in 64 millis
[2012/05/11 09:16:04] [INFO] [migo-1] POST:newComment done in 48 millis [+1, ~0, -0]
[2012/05/11 09:16:04] [INFO] [migo-1] GET:groupNews done in 20 millis
[2012/05/11 09:16:11] [INFO] [migo-1] POST:newComment done in 4 millis [+1, ~0, -0]
[2012/05/11 09:16:11] [INFO] [migo-1] GET:groupNews done in 25 millis
[2012/05/11 09:16:16] [INFO] [migo-1] POST:newComment done in 3 millis [+1, ~0, -0]
[2012/05/11 09:16:16] [INFO] [migo-1] GET:groupNews done in 19 millis
[2012/05/11 09:16:19] [INFO] [migo-1] GET:deleteComment done in 36 millis [+0, ~1, -1]
[2012/05/11 09:16:19] [INFO] [migo-1] GET:groupNews done in 27 millis
[2012/05/11 09:16:24] [INFO] [migo-1] GET:logout done in 0 millis
[2012/05/11 09:16:24] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:18:36] [INFO] [migo-1] POST:register done in 3 millis
[2012/05/11 09:20:45] [INFO] [migo-1] POST:register done in 3 millis
[2012/05/11 09:23:50] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:30:09] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:31:18] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:32:18] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:34:25] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:34:37] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:36:53] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:37:29] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:37:39] [INFO] [migo-1] GET:/ done in 3 millis
[2012/05/11 09:38:10] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:39:24] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:40:36] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:42:10] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:42:36] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:42:45] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:42:57] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:44:12] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:44:14] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:44:27] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:44:29] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:44:54] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:46:35] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:46:52] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:47:05] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:48:26] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:48:35] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:53:46] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:54:09] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:54:33] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:54:49] [INFO] [migo-1] GET:/ done in 3 millis
[2012/05/11 09:55:56] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:55:57] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:56:53] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 09:57:23] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:57:54] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 09:58:06] [INFO] [migo-1] GET:/ done in 1 millis
